Place's name,Place's rank,Place's type,Place's status,Place's time,Place's images,Place's url,Place's rate,Place's total reviewer,Place's 5 points,Place's 4 points,Place's 3 points,Place's 2 points,Place's 1 points,retrived_date,Province
Tiệm Spa Dao's CARE,Số 47 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,83,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11950353-Reviews-Dao_s_Care-Hanoi.html,5,152,138,10,1,1,2,4/21/2022,Hà Nội
Craft-Link,Số 20 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,19,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d541777-Reviews-Craft_Link-Hanoi.html,4.5,124,88,26,7,3,0,4/21/2022,Hà Nội
Tailor Bros,Số 14 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,130,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14795423-Reviews-Tailor_Bros-Hanoi.html,5,86,81,2,0,0,3,4/21/2022,Hà Nội
Taxi Group,Số 202 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,24,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9721602-Reviews-Taxi_Group-Hanoi.html,2,85,8,10,5,3,59,4/21/2022,Hà Nội
Royal Silk,Số 29 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,21,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8523129-Reviews-Royal_Silk-Hanoi.html,5,69,63,2,0,1,3,4/21/2022,Hà Nội
Sky 72 Observatory,Số 75 trong 259 hoạt động giải trí tại Hà Nội,Đài & tháp quan sát,,,66,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6367022-Reviews-Sky_72_Observatory-Hanoi.html,4,63,23,20,13,2,5,4/21/2022,Hà Nội
Inter Bus Lines,Số 193 trên 346 Phương tiện giao thông ở Hà Nội,Dịch vụ xe buýt,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12423655-Reviews-Inter_Bus_Lines-Hanoi.html,2.5,62,11,9,8,3,31,4/21/2022,Hà Nội
Biểu Diễn Múa Rối Nước Truyền Thống,Số 14 trên 30 Nhà hát & hòa nhạc ở Hà Nội,Nhà hát & biểu diễn,,,77,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12151167-Reviews-Longlink_Traditional_Water_Puppet_Show-Hanoi.html,4.5,58,34,17,4,1,2,4/21/2022,Hà Nội
Thu Huong Lacquer Arts,Số 45 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,60,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10962136-Reviews-Thu_Huong_Lacquer_Arts-Hanoi.html,4,57,26,25,1,1,4,4/21/2022,Hà Nội
HERO Bar,Số 37 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,22,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7043144-Reviews-HERO_Bar-Hanoi.html,4,53,21,18,5,1,8,4/21/2022,Hà Nội
Hanoi Museum,Số 210 trong 259 hoạt động giải trí tại Hà Nội,Viện bảo tàng chuyên ngành,,,82,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4581028-Reviews-Hanoi_Museum-Hanoi.html,3,46,4,14,13,7,8,4/21/2022,Hà Nội
Tohe,Số 32 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,22,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13354618-Reviews-Tohe-Hanoi.html,5,40,36,4,0,0,0,4/21/2022,Hà Nội
Mai Charming Spa,Số 143 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,32,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8327312-Reviews-Mai_Charming_Spa-Hanoi.html,4,38,24,5,2,0,7,4/21/2022,Hà Nội
Rạp Xiếc Trung Ương,Số 15 trên 30 Nhà hát & hòa nhạc ở Hà Nội,Nhà hát & biểu diễn,,,31,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4090180-Reviews-Vietnam_Circus_Federation-Hanoi.html,4,35,9,16,9,0,1,4/21/2022,Hà Nội
Tori Spa,Số 108 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12254075-Reviews-Tori_Spa-Hanoi.html,4.5,34,24,3,3,1,3,4/21/2022,Hà Nội
Q Bar,Số 12 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,73,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13934133-Reviews-Q_Bar-Hanoi.html,5,32,30,2,0,0,0,4/21/2022,Hà Nội
LEVEL10 Bar,Số 23 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ • Câu lạc bộ khiêu vũ & vũ trường,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7364542-Reviews-LEVEL10_Bar-Hanoi.html,4.5,32,21,8,1,0,2,4/21/2022,Hà Nội
Savico Megamall,Số 213 trong 259 hoạt động giải trí tại Hà Nội,Trung tâm mua sắm,,,33,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6781541-Reviews-Savico_Megamall-Hanoi.html,3,31,2,10,8,6,5,4/21/2022,Hà Nội
Mekong Quilts,Số 47 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6777814-Reviews-Mekong_Quilts-Hanoi.html,4.5,30,25,2,1,2,0,4/21/2022,Hà Nội
Anise Spa,Số 78 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,21,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18929735-Reviews-Anise_Spa-Hanoi.html,5,29,29,0,0,0,0,4/21/2022,Hà Nội
Viettime Craft,Số 51 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng • Trung tâm mua sắm,,,8,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9748323-Reviews-Viettime_Craft-Hanoi.html,5,29,25,3,1,0,0,4/21/2022,Hà Nội
The 371 Bar,Số 14 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,10,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13335836-Reviews-The_371_Bar-Hanoi.html,5,27,27,0,0,0,0,4/21/2022,Hà Nội
Base Bar,Số 18 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,40,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8595676-Reviews-Base_Bar-Hanoi.html,4.5,25,20,3,2,0,0,4/21/2022,Hà Nội
Akira Clinic & Spa,Số 89 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15082569-Reviews-Akira_Clinic_Spa-Hanoi.html,5,24,23,1,0,0,0,4/21/2022,Hà Nội
Hanoi Rock City,Số 35 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,16,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d3748946-Reviews-Hanoi_Rock_City-Hanoi.html,4.5,24,13,8,2,0,1,4/21/2022,Hà Nội
Hi' De Maison - Vietnam Unique Jewelry,Số 42 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,121,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17537418-Reviews-Hi_De_Maison_Vietnam_Unique_Jewelry-Hanoi.html,5,23,23,0,0,0,0,4/21/2022,Hà Nội
The Den Bar,Số 19 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,34,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11717833-Reviews-The_Den_Bar-Hanoi.html,4.5,23,20,2,0,0,1,4/21/2022,Hà Nội
Danva Bespoke,Số 65 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,32,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11966335-Reviews-Danva_Bespoke-Hanoi.html,4.5,22,18,1,0,0,3,4/21/2022,Hà Nội
Yoko Spa,Số 92 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,21,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d16695623-Reviews-Yoko_Spa-Hanoi.html,5,21,20,1,0,0,0,4/21/2022,Hà Nội
Just Massage,Số 127 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,3,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7333772-Reviews-Just_Massage-Hanoi.html,4.5,21,16,2,0,2,1,4/21/2022,Hà Nội
Embrace Transfers,Số 51 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13956859-Reviews-Embrace_Transfers-Hanoi.html,5,20,20,0,0,0,0,4/21/2022,Hà Nội
Swan Spa & Treatment,Số 97 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13321870-Reviews-Swan_Spa_Treatment-Hanoi.html,5,18,17,0,1,0,0,4/21/2022,Hà Nội
Sengarden,Số 113 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,14,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12635471-Reviews-Sengarden-Hanoi.html,5,18,16,1,0,1,0,4/21/2022,Hà Nội
Tohe Style,Số 73 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,33,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d3809152-Reviews-Tohe_Style-Hanoi.html,4.5,18,13,5,0,0,0,4/21/2022,Hà Nội
Rastaman Pub,Số 103 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d6685846-Reviews-Rastaman_Pub-Hanoi.html,2.5,18,5,2,1,1,9,4/21/2022,Hà Nội
Mây - Vietnam Cooking Class,Số 37 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15618145-Reviews-Vietnamese_Cooking_Class-Hanoi.html,5,17,17,0,0,0,0,4/21/2022,Hà Nội
Shining Spa,Số 101 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,23,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12631798-Reviews-Shining_Spa-Hanoi.html,5,17,17,0,0,0,0,4/21/2022,Hà Nội
Hanoi Motorcycle,Số 707 trên 949 Hoạt động ngoài trời ở Hà Nội,Cho thuê tiện ích,,,60,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8078696-Reviews-Hanoi_Motorcycle-Hanoi.html,3.5,17,9,1,0,0,7,4/21/2022,Hà Nội
Cherry Cooking Class,Số 65 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4776485-Reviews-Cherry_Cooking_Class-Hanoi.html,5,15,13,1,1,0,0,4/21/2022,Hà Nội
Ngoc Hien Silk,Số 295 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5958855-Reviews-Ngoc_Hien_Silk-Hanoi.html,2,15,1,2,1,3,8,4/21/2022,Hà Nội
Thang Long Art Gallery,Số 89 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2486466-Reviews-Thang_Long_Art_Gallery-Hanoi.html,4.5,14,6,6,2,0,0,4/21/2022,Hà Nội
Ngon Vietnam Cooking Class,Số 52 trên 179 Lớp học & hội thảo ở Hà Nội,Lớp nấu ăn,,,97,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12290087-Reviews-Ngon_Vietnam_Cooking_Class-Hanoi.html,5,14,14,0,0,0,0,4/21/2022,Hà Nội
Nhà hát múa rối nước thu nhỏ Phan Thanh Liêm,Số 18 trên 30 Nhà hát & hòa nhạc ở Hà Nội,Nhà hát & biểu diễn,,,19,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d9466018-Reviews-Phan_Thanh_Liem_Mini_Water_Puppetry-Hanoi.html,4.5,14,6,8,0,0,0,4/21/2022,Hà Nội
Hồ Bảy Mẫu,Số 107 trong 259 hoạt động giải trí tại Hà Nội,Vùng nước,,,17,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12708047-Reviews-Bay_Mau_Lake-Hanoi.html,4,13,2,7,3,1,0,4/21/2022,Hà Nội
ArtBook,Số 58 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,13,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14166710-Reviews-ArtBook-Hanoi.html,5,13,12,1,0,0,0,4/21/2022,Hà Nội
Hanoi Shopping Point - Vietnamese Coffee Kingdom,Số 111 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,11,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11665347-Reviews-Hanoi_Shopping_Point_Vietnamese_Coffee_Kingdom-Hanoi.html,4.5,13,11,0,0,0,2,4/21/2022,Hà Nội
Ha Noi Gallery,Số 115 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,,,10,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d2418839-Reviews-Ha_Noi_Gallery-Hanoi.html,4,12,4,7,0,0,1,4/21/2022,Hà Nội
Vietnam Old Propaganda Posters,Số 104 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,13,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8098696-Reviews-Vietnam_Old_Propaganda_Posters-Hanoi.html,4.5,12,9,1,1,0,1,4/21/2022,Hà Nội
Miss Nhi Beauty Club,Số 169 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,10,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11620911-Reviews-Miss_Nhi_Beauty_Club-Hanoi.html,4,12,8,0,0,1,3,4/21/2022,Hà Nội
Le Chalet,Số 83 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,18,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d10491985-Reviews-Le_Chalet-Hanoi.html,5,11,10,1,0,0,0,4/21/2022,Hà Nội
Nghê Shop,Số 67 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,63,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19070210-Reviews-Nghe_Shop-Hanoi.html,5,10,10,0,0,0,0,4/21/2022,Hà Nội
"Duc Minh, Tailor made suit",Số 76 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4764302-Reviews-Duc_Minh_Tailor_made_suit-Hanoi.html,5,10,9,1,0,0,0,4/21/2022,Hà Nội
Sky Lake Resort & Golf Club,Số 492 trên 949 Hoạt động ngoài trời ở Hà Nội,Sân gôn,Đang đóng cửa,05:00 - 18:00,36,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11512711-Reviews-Sky_Lake_Resort_Golf_Club-Hanoi.html,4.5,10,6,2,2,0,0,4/21/2022,Hà Nội
Vietnamese Craft - Guild,Số 116 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,14,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d5174445-Reviews-Vietnamese_Craft_Guild-Hanoi.html,4.5,10,6,2,1,1,0,4/21/2022,Hà Nội
Chùa Láng (Lang Pagoda),Số 126 trong 259 hoạt động giải trí tại Hà Nội,Công viên,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d590496-Reviews-Chua_Lang_Lang_Pagoda-Hanoi.html,4,9,2,3,4,0,0,4/21/2022,Hà Nội
Zennova Nui Truc,Số 145 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d4442940-Reviews-Zennova_Nui_Truc-Hanoi.html,5,9,7,2,0,0,0,4/21/2022,Hà Nội
Chapa Express Train,Số 118 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,19,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19436273-Reviews-Chapa_Express_Train-Hanoi.html,4,9,5,1,1,1,1,4/21/2022,Hà Nội
Vạn Xuân Foot Massage,Số 212 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11612096-Reviews-Van_Xuan_Foot_Massage-Hanoi.html,3.5,9,3,3,0,1,2,4/21/2022,Hà Nội
Sân vận động Mỹ Đình,Số 123 trong 259 hoạt động giải trí tại Hà Nội,Đấu trường & sân vận động,,,13,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8445311-Reviews-My_Dinh_Stadium-Hanoi.html,4,8,3,3,0,2,0,4/21/2022,Hà Nội
TM Travel,Số 83 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,12,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14074250-Reviews-TM_Travel-Hanoi.html,5,8,8,0,0,0,0,4/21/2022,Hà Nội
Sapa global bus,Số 93 trên 346 Phương tiện giao thông ở Hà Nội,Taxi & xe đưa đón,,,22,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19067506-Reviews-Sapa_global_bus-Hanoi.html,4.5,8,7,0,0,1,0,4/21/2022,Hà Nội
Jade Hanoi - Tailoring&Alteration,Số 107 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,11,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d7981634-Reviews-Jade_Hanoi_Tailoring_Alteration-Hanoi.html,4.5,8,7,0,0,1,0,4/21/2022,Hà Nội
Nany Spa,Số 154 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,9,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d14776415-Reviews-Nany_Spa-Hanoi.html,4.5,8,7,0,0,0,1,4/21/2022,Hà Nội
The Toilet,Số 89 trên 158 Giải trí về đêm ở Hà Nội,Câu lạc bộ khiêu vũ & vũ trường,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12645827-Reviews-The_Toilet-Hanoi.html,3.5,8,2,3,0,1,2,4/21/2022,Hà Nội
Siêu Thị Vincom Center Phạm Ngọc Thạch,Số 169 trong 259 hoạt động giải trí tại Hà Nội,Cửa hàng bách hóa • Trung tâm mua sắm,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12211664-Reviews-Vincom_Center_Pham_Ngoc_Thach-Hanoi.html,3.5,7,1,0,6,0,0,4/21/2022,Hà Nội
Etoile de Seoul,Số 135 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,71,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17581523-Reviews-Etoile_de_Seoul-Hanoi.html,5,7,7,0,0,0,0,4/21/2022,Hà Nội
Văn Tribal Heritage,Số 101 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11443590-Reviews-Van_Tribal_Heritage-Hanoi.html,5,7,7,0,0,0,0,4/21/2022,Hà Nội
Vietnamese Real Coffee,Số 112 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,18,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11674359-Reviews-Vietnamese_Real_Coffee-Hanoi.html,5,7,7,0,0,0,0,4/21/2022,Hà Nội
Hana spa,Số 203 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,6,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13476941-Reviews-Hana_spa-Hanoi.html,4,7,5,0,0,0,2,4/21/2022,Hà Nội
Klimt Art Gallery,Số 93 trong 259 hoạt động giải trí tại Hà Nội,Phòng trưng bày nghệ thuật,,,1,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15295960-Reviews-Klimt_Art_Gallery-Hanoi.html,5,6,6,0,0,0,0,4/21/2022,Hà Nội
The Bamboo Shop,Số 89 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,44,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d19354293-Reviews-The_Bamboo_Shop-Hanoi.html,5,6,6,0,0,0,0,4/21/2022,Hà Nội
Yolo Spa,Số 142 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,24,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d18978651-Reviews-Yolo_Spa-Hanoi.html,5,6,5,1,0,0,0,4/21/2022,Hà Nội
SonSon Enterprise,Số 102 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,48,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12254659-Reviews-SonSon_Enterprise-Hanoi.html,5,6,6,0,0,0,0,4/21/2022,Hà Nội
Airport Health Spa,Số 152 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,25,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d16855021-Reviews-Airport_Health_Spa-Hanoi.html,4.5,6,5,0,1,0,0,4/21/2022,Hà Nội
Temple Bar,Số 51 trên 158 Giải trí về đêm ở Hà Nội,Quán bar & câu lạc bộ,,,35,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11802314-Reviews-Temple_Bar-Hanoi.html,4.5,6,5,0,1,0,0,4/21/2022,Hà Nội
Muối Spa,Số 183 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,14,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11741409-Reviews-Muoi_Spa-Hanoi.html,4.5,6,4,1,1,0,0,4/21/2022,Hà Nội
Cinemathéque,Số 37 trên 101 Vui chơi & Giải trí ở Hà Nội,Rạp chiếu phim,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8290085-Reviews-Cinematheque-Hanoi.html,4,6,3,1,1,0,1,4/21/2022,Hà Nội
Khai Silk Boutique,Số 284 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d11664768-Reviews-Khai_Silk_Boutique-Hanoi.html,2.5,6,0,2,2,0,2,4/21/2022,Hà Nội
Hana Spa,Số 150 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,5,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d17321593-Reviews-Hana_Spa-Hanoi.html,5,5,5,0,0,0,0,4/21/2022,Hà Nội
Hanoia Bà Kiệu,Số 118 trên 417 Mua sắm ở Hà Nội,Cửa hàng đặc sản & cửa hàng quà tặng,,,4,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d13985422-Reviews-Hanoia_Ba_Kieu-Hanoi.html,5,5,5,0,0,0,0,4/21/2022,Hà Nội
TON Minigolf,Số 23 trên 101 Vui chơi & Giải trí ở Hà Nội,Sân golf mini,,,15,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d12906360-Reviews-TON_Minigolf-Hanoi.html,5,5,5,0,0,0,0,4/21/2022,Hà Nội
Ansa Spa,Số 172 trên 332 Spa & Sức khỏe ở Hà Nội,Spa,,,0,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d8431978-Reviews-Ansa_Spa-Hanoi.html,5,5,4,1,0,0,0,4/21/2022,Hà Nội
CGV Vincom Ba Trieu,Số 31 trên 101 Vui chơi & Giải trí ở Hà Nội,Rạp chiếu phim,,,2,https://www.tripadvisor.com.vn/Attraction_Review-g293924-d15327698-Reviews-CGV_Vincom_Ba_Trieu-Hanoi.html,4,5,2,1,2,0,0,4/21/2022,Hà Nội
